score,model,date_function,date_mid,mean,lower,upper,y_sd,mean_std,lower_std,upper_std,score_label,main_model,main_model_pretty
score_xgb_logit,date_rw2_creator_source,rw2,125,-0.5075291897679196,-0.9073957509204061,-0.14949649644878743,3.257814569466618,-0.1557882374658955,-0.2785289744311532,-0.04588858366891753,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,127.5,-0.4868150913989708,-0.8836842252835799,-0.12981563269184707,3.257814569466618,-0.14942995711345045,-0.2712506210653543,-0.03984745906305557,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,135,-0.46593879711495195,-0.859838388277612,-0.109886258125345,3.257814569466618,-0.14302189003692659,-0.2639310402551205,-0.03373005301014907,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,137.5,-0.444906451035898,-0.8358756064773638,-0.08970525794544564,3.257814569466618,-0.13656592220002864,-0.2565755627442653,-0.02753540940794937,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,150,-0.4237246924295742,-0.8118137276319644,-0.06927012248687098,3.257814569466618,-0.13006409155415743,-0.24918966697508435,-0.021262757904054727,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,161.5,-0.4024006510532448,-0.7876707288290028,-0.04857921073069017,3.257814569466618,-0.1235185866085458,-0.24177887109086238,-0.014911594780743997,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,165,-0.38094347445765897,-0.763466277009147,-0.027633969486672346,3.257814569466618,-0.1169322152426952,-0.234349211942454,-0.008482364142412404,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,170,-0.359362560306831,-0.7392196282639238,-0.00643689412445818,3.257814569466618,-0.11030786210943468,-0.22690660026882736,-0.001975831953355176,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,170.5,-0.3376680412620644,-0.7149505259703418,0.01500787857908692,3.257814569466618,-0.10364863747212866,-0.21945709638329608,0.004606731985222863,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,175,-0.3158696724840048,-0.6906771058053395,0.03669551645802296,3.257814569466618,-0.09695753571871349,-0.21200626710881823,0.011263844419490975,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,178.5,-0.2939777574602408,-0.6664172496764665,0.058619397488899765,3.257814569466618,-0.09023771954840633,-0.20455960137276166,0.017993472691264056,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,180,-0.27200323184737574,-0.6421882747184687,0.0807704977795258,3.257814569466618,-0.0834925457073848,-0.1971224147430866,0.024792846878559406,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,184.5,-0.2499575950810479,-0.6180071472613144,0.10313757860616453,3.257814569466618,-0.07672554399619248,-0.18969991510673886,0.03165851720745746,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
