"id","title","creator","date_range_start","date_range_end","start_era","end_era","stratum_start","stratum_end","type"
"IT-LAT0336","Explanatio in artem Donati","Servius, Marius Honoratus",400,425,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0364","De solecismo","Donatus, Aelius",300,400,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0665","De mirabilibus mundi","Solinus, Caius Iulius",275,325,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0768","A Firmo de civitate Dei","Augustinus Hipponensis",412,427,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0366","De ceteriis vitiis","Donatus, Aelius",300,400,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990_4","De Pascha","Martinus Bracarensis",576,577,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0895","Medicina ex oleribus et pomis","Gargilius Martialis, Quintus",200,260,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0333","De centum metris","Servius, Marius Honoratus",400,425,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0334","De metris Horatii","Servius, Marius Honoratus",400,425,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0397","De fide et symbolo","Augustinus Hipponensis",393,393,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0383","Contra haereticos (Codex Theodosianus)","[Auctor incertus]",438,438,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0013","Liber Kalilae et Dimnae","[Auctor incertus]",1300,1250,"Late","Late","Late_prose","Late_prose","prose"
