word1,word2,ppmi,cooc_n
mars,unda,0.854691609412142,59
fatum,tellus,0.8545932277897497,66
defendo,periculum,0.8536531877196599,75
constituo,orator,0.8535116682722934,33
appello,regio,0.8533556038693997,68
intellego,periculum,0.8532721627579157,64
auctoritas,diuinus,0.853164891558342,51
animal,diuinus,0.853164891558342,51
copia,memoria,0.8529322071549035,59
constituo,contineo,0.8527208418174753,79
prouincia,regio,0.8525709824089818,52
copia,iniuria,0.8518723236428603,69
exercitus,longe,0.851629923094317,72
existimo,suscipio,0.8516266535765219,55
graeci,iniuria,0.8512133450358172,41
contineo,memoria,0.8508667003715792,61
istic,oro,0.8503719482676255,45
imperator,istic,0.8503719482676254,24
copia,oratio,0.8503366181964317,61
extremus,reliquus,0.8503366181964317,61
agmen,animal,0.8496150120761382,37
episcopus,sermo,0.8495102506701444,15
paulus,senatus,0.8493131869193835,59
exercitus,potestas,0.8491824861178381,67
agmen,flumen,0.8491824861178381,67
auxilium,iniuria,0.8484034436949535,70
iniuria,reperio,0.8484034436949535,70
bonum,existimo,0.8483284502568441,59
acies,proelium,0.8477448240890029,68
graeci,singulus,0.8467864299050287,54
caesar,senatus,0.846702219378663,51
conuenio,episcopus,0.846607491012183,16
animal,episcopus,0.846607491012183,8
imperator,numerus,0.846547851829222,54
intellego,paulus,0.8464033885520399,71
filia,nauis,0.8463597823163409,52
agmen,saxum,0.8463477979679,62
ciuitas,sententia,0.8463233597416253,68
diuinus,periculum,0.8462574857585311,69
consilium,exercitus,0.8461015228773806,70
aequor,coniunx,0.8459968717698069,58
consto,existimo,0.8458450052718484,57
defendo,orator,0.8458450052718484,38
graeci,reperio,0.845802661994896,48
confero,orator,0.8454579334651965,42
litus,mars,0.8453018690623026,53
furor,mars,0.8453018690623026,53
consul,roma,0.8452908351274364,77
constituo,graeci,0.8452128654575982,45
efficio,prouincia,0.8446412735586406,54
oratio,uoluptas,0.8445738903841937,53
diuersus,episcopus,0.8445392379481241,14
auctoritas,ciuis,0.8444312115895871,51
iuuenis,numen,0.844390339794186,74
agmen,sidus,0.8441949446067991,64
numen,semen,0.8441027768878189,61
ciuitas,contineo,0.8437625388799517,65
copia,periculum,0.843511847634399,67
castra,proelium,0.843511847634399,67
imperator,maior,0.8434990689798633,60
castra,saxum,0.8432544804987615,70
exercitus,pugno,0.8430260374018169,57
iudico,paulus,0.8426900534273788,64
litus,unda,0.8425799075706389,81
agmen,subeo,0.8421767804505618,66
iudico,senatus,0.8421511151227682,53
ciuitas,publicus,0.841788204576234,66
existimo,publicus,0.841788204576234,54
beatus,episcopus,0.841788204576234,12
saeuus,unda,0.8416457645788421,90
agmen,semen,0.8415318271873152,50
aequor,dexter,0.841501219354003,67
numen,saeuus,0.8412056237266661,77
defendo,graeci,0.8410488330083553,52
oportet,prouincia,0.841003583115816,49
appello,periculum,0.8409193947909148,59
iudico,sententia,0.8407350185915754,73
respondeo,uoluptas,0.8404570895710353,77
constituo,efficio,0.8404395867049406,76
sapio,uoluptas,0.8400091612320789,72
nolo,orator,0.8400008940021383,43
caesar,eques,0.8399782493309946,46
auctoritas,copia,0.839827804026804,49
diuido,orator,0.8398177605889353,39
auctoritas,paucus,0.8396870481676091,64
bonum,oratio,0.8389123734741228,69
episcopus,saeculum,0.8388339926788027,13
istic,sapio,0.8388111258665494,43
animal,diuido,0.8387023115050696,56
graeci,oportet,0.8382167722086368,43
animal,species,0.8380968013442742,52
ciuitas,littera,0.8378844910957607,59
existimo,respondeo,0.837747795039229,57
oratio,sermo,0.8376757930231415,70
arbor,semen,0.8375238057897765,66
aequor,semen,0.8375238057897764,51
imperator,praesto,0.8373770814112579,58
constituo,oportet,0.8373388090266924,69
reliquus,suscipio,0.8371914142294616,64
constituo,intellego,0.836924644597496,71
aequor,fatum,0.8366071314199677,58
auctoritas,potestas,0.8365571551586813,55
contineo,prouincia,0.8365571551586813,55
animal,sensus,0.8365571551586813,44
fatum,litus,0.8364459840503498,73
prouincia,romanus,0.8358884824490458,65
aequor,sidus,0.8358884824490458,65
inimicus,oportet,0.8358884824490457,78
prouincia,reperio,0.8357523261413946,54
nauis,oratio,0.8349830953342332,46
iudico,respondeo,0.8349738681565038,75
copia,prouincia,0.8349178105292483,53
murus,proelium,0.8347127033600337,65
periculum,publicus,0.83467073680737,70
caesar,roma,0.8342409989408511,66
periculum,uoluptas,0.8340814615988038,58
prouincia,socius,0.8340519346417441,52
facile,reperio,0.8332238797880358,79
graeci,proximus,0.8329516227757359,52
numen,sidus,0.8328373740561495,77
caesar,imperator,0.8328195345934735,37
aequor,luna,0.8328068159116375,54
agmen,ingens,0.8327662487831762,58
mars,murus,0.8327127026933665,45
intellego,senatus,0.8322187535600835,58
littera,senatus,0.8322187535600835,58
auctoritas,consul,0.8322187535600835,46
consul,orator,0.8322187535600835,32
littera,publicus,0.8322187535600832,78
animal,transeo,0.8320390751838924,53
animal,uulnus,0.8320390751838924,53
iudicium,orator,0.8319745831279094,39
castra,socius,0.8313888172222607,65
agmen,tellus,0.8309497178567785,50
diuinus,exercitus,0.8309497178567783,60
litus,telum,0.8305920756902064,78
inimicus,iniuria,0.8302637187242801,73
iniuria,uoluptas,0.8301224857602715,59
princeps,senatus,0.8300442487619553,70
exercitus,sententia,0.82844658763866,63
efficio,orator,0.828304854238947,34
mars,telum,0.8282583523439863,56
ciuis,graeci,0.8282583523439863,48
defendo,episcopus,0.8281454281724473,14
appello,reperio,0.8277841564922178,70
appello,paulus,0.827103652893313,65
metus,periculum,0.827052505922481,76
prouincia,roma,0.8269416964592398,54
sidus,tellus,0.8269416964592395,72
constituo,singulus,0.8266692877454291,85
extremus,motus,0.8266593229799339,82
consto,periculum,0.8266245153317408,73
alienus,iniuria,0.8265207324454457,80
graeci,studium,0.8265207324454457,55
orator,studium,0.8265207324454457,40
aequor,altus,0.8264633419894626,66
iuuenis,litus,0.8264223508230534,77
auctoritas,respondeo,0.8262401881877492,54
auctoritas,proximus,0.8262401881877492,54
auxilium,scelus,0.8260435120144336,82
animal,oratio,0.8258043633824195,37
flamma,numen,0.8256899818464961,79
agmen,surgo,0.8253264603024161,56
episcopus,ostendo,0.8251012857912192,16
facile,prouincia,0.8249194510784716,52
nolo,oratio,0.8248386462624607,75
murus,pugno,0.824161185359916,62
filia,uxor,0.8239610683211017,67
episcopus,sanctus,0.8238505038895668,17
mulier,oportet,0.8238187583617154,70
aequor,iuuenis,0.8236683711142705,61
potestas,prouincia,0.8233798048928789,59
graeci,suscipio,0.8231251434443073,49
agmen,turbo,0.822953229222552,59
mars,tellus,0.8226032948606414,46
consilium,oratio,0.822290874183662,70
appello,efficio,0.8222843664573644,69
facile,periculum,0.822256333658988,65
exercitus,scelus,0.8222160378880237,60
ciuis,exercitus,0.8222160378880237,60
animal,reperio,0.8219701866267977,49
ciuitas,nauis,0.8218037425673068,47
consto,graeci,0.8216307471512537,51
consilium,iniuria,0.8215465496238047,79
littera,periculum,0.8215234644433355,62
copia,graeci,0.8211006649761065,46
efficio,imperator,0.8209247469413244,45
eques,uictor,0.8208858681596435,61
animal,singulus,0.8206838060023914,55
oratio,oro,0.8203842959130805,64
littera,oratio,0.8203842959130803,56
littera,reliquus,0.8203842959130803,56
accedo,imperator,0.8202511194318499,53
agmen,diuersus,0.8201477848239649,63
eques,proelium,0.8199993432788864,55
facile,istic,0.8196002896008717,40
regio,reliquus,0.8192153887080983,57
animal,extremus,0.8192085168240684,48
carmen,tellus,0.8189735268100627,75
agmen,felix,0.8188771366225094,65
agmen,luna,0.8188771366225089,52
periculum,regio,0.81865532148539355,63
iudico,sapio,0.8182836337161251,69
defendo,senatus,0.818244357189736,67
constituo,facile,0.818184193069679,73
accedo,auctoritas,0.8177870524766908,57
coniunx,numen,0.8177772202634106,67
nauis,periculum,0.8177211784935967,50
ciuis,memoria,0.8175302801039872,59
istic,reperio,0.8173854492713188,41
consilium,existimo,0.8173182135142838,59
istic,oportet,0.8171463006393052,37
auxilium,prouincia,0.8170601931292418,53
agmen,eques,0.8169278182664594,41
claudo,murus,0.8168550859600273,65
constituo,exercitus,0.8166976951495771,55
luna,sidus,0.8164703965919442,75
filius,imperator,0.8164703965919442,54
imperator,scelus,0.8164703965919442,46
orator,oro,0.8164703965919442,36
graeci,uoluptas,0.8161579454098989,40
coepio,periculum,0.8161326158084589,74
defendo,iudico,0.8160424060012039,73
diuersus,singulus,0.816014771238275,96
caesar,filia,0.8158918602726546,54
animal,casus,0.8156452654082158,53
numen,proelium,0.8154887357215365,70
existimo,mulier,0.8154505086911985,49
bonum,memoria,0.815125147998564,65
iudico,reperio,0.8150721209038557,67
conuenio,existimo,0.8148587926976026,62
aequor,premo,0.8146862747984427,70
publicus,reliquus,0.8139534055827901,62
existimo,singulus,0.8138422741856748,57
orator,princeps,0.8138422741856746,38
consul,romanus,0.8136653456643357,89
animal,luna,0.8135676369339826,43
aer,litus,0.8133502692557004,78
litus,motus,0.8133502692557004,78
extremus,regio,0.8133502692557004,74
