word1,word2,word3,interaction_info,abs_interaction_info
uolo,primus,manus,0.1817596176693051,0.1817596176693051
uenio,manus,bonus,0.1817537589061518,0.1817537589061518
uolo,nomen,uenio,0.18175202422457834,0.18175202422457834
locus,totus,terra,0.1817084881184201,0.1817084881184201
magnus,primus,terra,0.18165579316869726,0.18165579316869726
uolo,pars,ago,0.1816459176332693,0.1816459176332693
uolo,uenio,bonus,0.18159928775789838,0.18159928775789838
unus,uenio,manus,0.18159649333212766,0.18159649333212766
homo,unus,totus,0.18153379478188886,0.18153379478188886
uolo,uerbum,ago,0.1814930282091871,0.1814930282091871
uolo,magnus,uenio,0.18148675131622846,0.18148675131622846
unus,locus,magnus,0.1814175529177348,0.1814175529177348
uir,ago,uis,0.1813354089951963,0.1813354089951963
locus,totus,manus,0.18131293025089967,0.18131293025089967
unus,uerbum,uir,0.18129739799239472,0.18129739799239472
pars,dies,totus,0.18111991310232364,0.18111991310232364
unus,ago,credo,0.18109781507140627,0.18109781507140627
uolo,manus,credo,0.18108681848828934,0.18108681848828934
pars,tempus,manus,0.18099522660512768,0.18099522660512768
unus,locus,tempus,0.18096673380179767,0.18096673380179767
dies,uenio,uis,0.18091045262017913,0.18091045262017913
locus,pars,uis,0.18090399535708676,0.18090399535708676
primus,manus,uis,0.1808582293086771,0.1808582293086771
pars,ago,manus,0.1808383412905072,0.1808383412905072
nomen,uenio,totus,0.18083023966682882,0.18083023966682882
homo,unus,bonus,0.18080879067603348,0.18080879067603348
dies,uita,manus,0.18077635032165124,0.18077635032165124
unus,totus,terra,0.18075263399377145,0.18075263399377145
magnus,uerbum,ago,0.18072198175686227,0.18072198175686227
uolo,uenio,totus,0.1807214633373014,0.1807214633373014
deus,uenio,manus,0.18065698536620717,0.18065698536620717
magnus,dies,totus,0.18052638067286403,0.18052638067286403
unus,uolo,pars,0.18044166070344536,0.18044166070344536
unus,manus,credo,0.18043139872203517,0.18043139872203517
dies,uerbum,uir,0.1804051923090607,0.1804051923090607
tempus,manus,uis,0.18038929985086308,0.18038929985086308
dies,nomen,uerbum,0.18036166938067816,0.18036166938067816
primus,totus,uis,0.18034095631052297,0.18034095631052297
unus,uenio,bonus,0.18029534048963242,0.18029534048963242
unus,locus,pars,0.1802776456314068,0.1802776456314068
