word1,word2,ppmi,mi
ius,regnum,0.5053689466840738,0.15312523146748092
gens,mater,0.5052662772794662,0.17214835641812787
audio,quaero,0.5051540115209477,0.22857158839088143
debeo,quaero,0.5051540115209477,0.22857158839088143
quaero,signum,0.5048581972901263,0.20822239686216992
audio,medius,0.5046001483109984,0.18180169195179285
malus,uox,0.5044768817468975,0.215570598687866
medius,romanus,0.5043236837381723,0.12263852576140888
ius,uerus,0.5037146865880473,0.22803946510753814
nox,signum,0.5036536197503745,0.17716456598839603
audio,romanus,0.503050961324169,0.11723675373727005
loquor,uerus,0.5027748029198266,0.2621343198191237
romanus,signum,0.5027551470933476,0.10583107843733153
modus,scio,0.5026710381617179,0.1982459374930139
malus,uerbum,0.5025116010619438,0.2362032332837929
regnum,signum,0.502490211338718,0.12672314204471125
debeo,ius,0.502234301417613,0.1861568830817717
arma,domus,0.5021295895737878,0.1882732637462361
audio,liber,0.5020372764933227,0.2188480331312812
lex,ratio,0.502023314327715,0.19056588029222965
malus,medius,0.5019300366372944,0.18575961280116005
arma,audio,0.5012902371511306,0.14922943646993847
malus,scribo,0.5012035564019286,0.14764017622373782
arma,uox,0.5011095768371937,0.177714301020945
malus,quaero,0.501071968797291,0.23126181798096823
mitto,signum,0.5010515691685636,0.19852454550199905
natura,scribo,0.5007648636991265,0.11527124766351271
debeo,loquor,0.5004501796241116,0.21414411177285775
bellum,nox,0.5003433619312411,0.18022496821391698
loquor,rex,0.5001929448960051,0.19726248265682944
debeo,dominus,0.49994287243873736,0.1907311980104902
inuenio,pono,0.49989931428802614,0.22670739562395958
modus,scribo,0.49970430574628744,0.15792049043310374
inuenio,regnum,0.49967092556943604,0.1233219498671776
quaero,uerus,0.499438129820787,0.26700681883679867
malus,natura,0.49939270727757096,0.1444907967011968
medius,natura,0.49939270727757096,0.1444907967011968
scribo,uerbum,0.49928199060845957,0.18676154868425154
opus,ratio,0.49920461639801134,0.1928667470615597
filius,scio,0.49866622704220503,0.11606584711947221
mors,regnum,0.4981956363911133,0.16747873300191785
bellum,signum,0.4978651617991557,0.14458632143281758
liber,ratio,0.4977348165425696,0.17381341043833398
malus,regnum,0.4975545226630584,0.14138542708706225
medius,regnum,0.4975545226630584,0.14138542708706225
ius,teneo,0.4974450735744518,0.26808419195690636
audio,credo,0.49735898705443854,0.24357378362475846
liber,modus,0.4972992195500131,0.23667759589013215
audio,urbs,0.49721672942563366,0.20502961808283526
debeo,medius,0.4970529426756155,0.17449029935004923
scio,signum,0.49689002764094936,0.15660336681736098
malus,nox,0.4968401178509247,0.19428374419377992
malus,modus,0.4968401178509247,0.19428374419377992
medius,modus,0.4968401178509247,0.19428374419377992
debeo,relinquo,0.4967322242636294,0.2152085960317942
rex,uerus,0.4963469372511142,0.1881680087672768
inuenio,locus,0.4962121537055506,0.25426323063959266
loquor,uerbum,0.4958585021569388,0.2713599523260255
relinquo,signum,0.49574651693887034,0.19527889670058585
loquor,ratio,0.49528602207587724,0.16919838529600906
accipio,ratio,0.49528602207587724,0.16919838529600906
mors,signum,0.49515880020141273,0.18478866243565228
bellum,domus,0.49514310027767783,0.19624888568151366
dominus,sanctus,0.4950159130341712,0.14863265044156382
natura,regnum,0.494874753305943,0.10904415631292785
inuenio,peto,0.49470430736042653,0.19193759381099795
bellum,ius,0.4945262605336411,0.1682263316593975
hostis,nox,0.494499250661531,0.1665670389463747
scio,uis,0.49445569450586163,0.266735556779917
ius,uox,0.4941058274814104,0.21083124429103606
duo,scribo,0.4941020501976176,0.15511833700520317
inuenio,urbs,0.4939543714645308,0.18145412948450446
inuenio,mors,0.4939543714645308,0.18145412948450446
audio,uox,0.49390176667058105,0.19628040748337927
ius,uirtus,0.49383457798834024,0.1980258447596892
arma,natura,0.49364911275540646,0.11653304058096037
accipio,audio,0.49348151030801835,0.20596103371786256
regnum,uox,0.493191959471727,0.1587245350249482
hostis,natura,0.49307024153808404,0.12049398801949796
liber,loquor,0.4929978343614668,0.25720794777374323
scribo,uerus,0.492880729274628,0.16641310657680286
scribo,urbs,0.492880729274628,0.16641310657680286
medius,rex,0.4928353067314119,0.15691687406567212
gens,romanus,0.49270481123984616,0.10034280406088936
locus,ratio,0.4926533529107896,0.22561141107454308
audio,nox,0.4926168323466644,0.1831896612256756
debeo,modus,0.4926168323466644,0.1831896612256756
ratio,relinquo,0.4924297643128762,0.17100252677612104
duo,modus,0.4922881552689315,0.20598365421907783
inuenio,opus,0.4922307284063656,0.20510905788394673
lex,malus,0.49209484020368827,0.22857158839088143
fides,malus,0.49205860766323944,0.20372581525967703
malus,mater,0.49201864682485585,0.18241058003517363
arma,peto,0.49149119136873193,0.18216424112016494
credo,ratio,0.4913721227547408,0.19239595536607457
mater,rex,0.49129216658949,0.1614263512357148
duo,medius,0.4912378623022548,0.19066479076133547
debeo,filius,0.4911997066939039,0.10870529490692515
gens,malus,0.49105910733015634,0.15357659855091121
inuenio,rex,0.4910479961573162,0.13441878059870138
rex,scio,0.49069805739302824,0.1532149643249623
bonus,scio,0.49065744743139905,0.23639484140598466
audio,puto,0.4905021507940766,0.18786933995042343
inuenio,manus,0.49032204331236706,0.2619491694961402
ratio,urbs,0.49029045688399997,0.16029700859124407
liber,scio,0.4902724349137363,0.20965669839271683
arma,urbs,0.4902399046002898,0.17170991827140103
audio,bellum,0.4901928063808003,0.15271081542968723
audio,mors,0.49014956220254113,0.19709392099926326
debeo,mors,0.49014956220254113,0.19709392099926326
loquor,mors,0.4900357771423968,0.2438268063437583
accipio,scribo,0.4899100779404211,0.16800974950433822
audio,peto,0.4898117814190557,0.20697713542348328
loquor,medius,0.4897748605783058,0.2088404770392005
audio,regnum,0.48939778845102355,0.13033536016058633
debeo,regnum,0.48939778845102355,0.13033536016058633
loquor,modus,0.4893873387753551,0.22350627061910533
scio,uox,0.48925439285985856,0.19577258589379554
lex,signum,0.4891920805457269,0.19842686301315027
fides,loquor,0.48902495428144555,0.23952288505956076
mors,sanctus,0.4889668299534916,0.1572953472856886
inuenio,uis,0.4887829895264642,0.2284781000746401
mater,regnum,0.4887018941988621,0.13988635012021433
audio,fides,0.4884521619030163,0.19279371757301078
modus,signum,0.48826870091089497,0.1628385272784918
debeo,mitto,0.4881481643326557,0.2024334944679751
modus,puto,0.4880973726884344,0.2061294709711099
signum,summus,0.48795224521205177,0.20517922894109297
mors,uerus,0.4878851640827508,0.23505806157460984
signum,uerus,0.48772382171389467,0.17728457196800207
ius,liber,0.48762854883642304,0.21634645618062187
medius,quaero,0.48755824963056826,0.2142503821701478
inuenio,relinquo,0.4873782672683536,0.1841865057090466
ratio,rex,0.4872484055708788,0.11823077357034784
quaero,ratio,0.4871527072120327,0.1682253961369291
ius,romanus,0.48703218662811126,0.1160750749285473
puto,signum,0.48694013877663395,0.16780681353592275
pono,signum,0.4867483216928164,0.21238537704967797
