time,step,detail
2026-03-29 01:54:17,svm_inner_fold,outer 2 cost 16 fold 3 of 5
2026-03-29 01:54:17,svm_inner_fold,outer 2 cost 16 fold 4 of 5
2026-03-29 01:54:17,svm_inner_fold,outer 2 cost 16 fold 5 of 5
2026-03-29 01:54:17,tune_xgb,outer fold 2
2026-03-29 01:54:17,xgb_inner_fold,outer 2 candidate 1 of 8 fold 1 of 5
2026-03-29 01:54:21,xgb_inner_fold,outer 2 candidate 1 of 8 fold 2 of 5
2026-03-29 01:54:24,xgb_inner_fold,outer 2 candidate 1 of 8 fold 3 of 5
2026-03-29 01:54:26,xgb_inner_fold,outer 2 candidate 1 of 8 fold 4 of 5
2026-03-29 01:54:31,xgb_inner_fold,outer 2 candidate 1 of 8 fold 5 of 5
2026-03-29 01:54:34,xgb_inner_fold,outer 2 candidate 2 of 8 fold 1 of 5
2026-03-29 01:54:36,xgb_inner_fold,outer 2 candidate 2 of 8 fold 2 of 5
2026-03-29 01:54:39,xgb_inner_fold,outer 2 candidate 2 of 8 fold 3 of 5
2026-03-29 01:54:41,xgb_inner_fold,outer 2 candidate 2 of 8 fold 4 of 5
2026-03-29 01:54:44,xgb_inner_fold,outer 2 candidate 2 of 8 fold 5 of 5
2026-03-29 01:54:47,xgb_inner_fold,outer 2 candidate 3 of 8 fold 1 of 5
2026-03-29 01:54:51,xgb_inner_fold,outer 2 candidate 3 of 8 fold 2 of 5
2026-03-29 01:54:55,xgb_inner_fold,outer 2 candidate 3 of 8 fold 3 of 5
2026-03-29 01:54:59,xgb_inner_fold,outer 2 candidate 3 of 8 fold 4 of 5
2026-03-29 01:55:06,xgb_inner_fold,outer 2 candidate 3 of 8 fold 5 of 5
2026-03-29 01:55:09,xgb_inner_fold,outer 2 candidate 4 of 8 fold 1 of 5
2026-03-29 01:55:11,xgb_inner_fold,outer 2 candidate 4 of 8 fold 2 of 5
2026-03-29 01:55:16,xgb_inner_fold,outer 2 candidate 4 of 8 fold 3 of 5
2026-03-29 01:55:19,xgb_inner_fold,outer 2 candidate 4 of 8 fold 4 of 5
2026-03-29 01:55:23,xgb_inner_fold,outer 2 candidate 4 of 8 fold 5 of 5
2026-03-29 01:55:26,xgb_inner_fold,outer 2 candidate 5 of 8 fold 1 of 5
2026-03-29 01:55:28,xgb_inner_fold,outer 2 candidate 5 of 8 fold 2 of 5
2026-03-29 01:55:30,xgb_inner_fold,outer 2 candidate 5 of 8 fold 3 of 5
2026-03-29 01:55:32,xgb_inner_fold,outer 2 candidate 5 of 8 fold 4 of 5
2026-03-29 01:55:36,xgb_inner_fold,outer 2 candidate 5 of 8 fold 5 of 5
2026-03-29 01:55:38,xgb_inner_fold,outer 2 candidate 6 of 8 fold 1 of 5
2026-03-29 01:55:39,xgb_inner_fold,outer 2 candidate 6 of 8 fold 2 of 5
2026-03-29 01:55:42,xgb_inner_fold,outer 2 candidate 6 of 8 fold 3 of 5
2026-03-29 01:55:44,xgb_inner_fold,outer 2 candidate 6 of 8 fold 4 of 5
2026-03-29 01:55:47,xgb_inner_fold,outer 2 candidate 6 of 8 fold 5 of 5
2026-03-29 01:55:49,xgb_inner_fold,outer 2 candidate 7 of 8 fold 1 of 5
2026-03-29 01:55:52,xgb_inner_fold,outer 2 candidate 7 of 8 fold 2 of 5
2026-03-29 01:55:55,xgb_inner_fold,outer 2 candidate 7 of 8 fold 3 of 5
2026-03-29 01:55:58,xgb_inner_fold,outer 2 candidate 7 of 8 fold 4 of 5
2026-03-29 01:56:03,xgb_inner_fold,outer 2 candidate 7 of 8 fold 5 of 5
2026-03-29 01:56:06,xgb_inner_fold,outer 2 candidate 8 of 8 fold 1 of 5
2026-03-29 01:56:07,xgb_inner_fold,outer 2 candidate 8 of 8 fold 2 of 5
2026-03-29 01:56:09,xgb_inner_fold,outer 2 candidate 8 of 8 fold 3 of 5
2026-03-29 01:56:12,xgb_inner_fold,outer 2 candidate 8 of 8 fold 4 of 5
2026-03-29 01:56:15,xgb_inner_fold,outer 2 candidate 8 of 8 fold 5 of 5
2026-03-29 01:56:19,tune_lgb,outer fold 2
2026-03-29 01:56:19,lgb_inner_fold,outer 2 candidate 1 of 8 fold 1 of 5
2026-03-29 01:56:20,lgb_inner_fold,outer 2 candidate 1 of 8 fold 2 of 5
2026-03-29 01:56:20,lgb_inner_fold,outer 2 candidate 1 of 8 fold 3 of 5
2026-03-29 01:56:21,lgb_inner_fold,outer 2 candidate 1 of 8 fold 4 of 5
2026-03-29 01:56:22,lgb_inner_fold,outer 2 candidate 1 of 8 fold 5 of 5
2026-03-29 01:56:23,lgb_inner_fold,outer 2 candidate 2 of 8 fold 1 of 5
2026-03-29 01:56:23,lgb_inner_fold,outer 2 candidate 2 of 8 fold 2 of 5
2026-03-29 01:56:23,lgb_inner_fold,outer 2 candidate 2 of 8 fold 3 of 5
2026-03-29 01:56:24,lgb_inner_fold,outer 2 candidate 2 of 8 fold 4 of 5
