analysis,score,model,waic,dic,eff_parameters,n,y_mean,y_sd,rank,delta_waic,waic_weight,model_pretty,has_score,has_date,has_source,has_creator,score_label
negative_control_text_length,score_svm_logit,date_rw2_score_creator,1707.8744542161844,1675.972425510264,190.3109726276559,780,1.5799327658127228e-16,1.0000000000000002,2,0.27407713364891606,0.46579387290619667,Date RW2 + creator + score,TRUE,TRUE,FALSE,TRUE,SVM
negative_control_text_length,score_svm_logit,date_rw2_creator,1853.8935357820226,1818.913596848441,183.94817882802226,780,1.5799327658127228e-16,1.0000000000000002,3,146.2931586994871,9.131730442707962e-33,Date RW2 + creator,FALSE,TRUE,FALSE,TRUE,SVM
negative_control_text_length,score_svm_logit,date_rw2_source_creator,1854.960709387429,1819.7965254977717,184.23371087144446,780,1.5799327658127228e-16,1.0000000000000002,4,147.36033230489352,5.355737454342684e-33,Date RW2 + source + creator,FALSE,TRUE,TRUE,TRUE,SVM
negative_control_text_length,score_svm_logit,date_rw2_source_score,2110.078724305787,2110.818141596925,9.749173300883673,780,1.5799327658127228e-16,1.0000000000000002,5,402.4783472232516,2.1411457075726954e-88,Date RW2 + source + score,TRUE,TRUE,TRUE,FALSE,SVM
negative_control_text_length,score_svm_logit,date_rw2_score,2112.4985635804273,2113.1882057028747,9.677988007631388,780,1.5799327658127228e-16,1.0000000000000002,6,404.89818649789186,6.385351371941512e-89,Date RW2 + score,TRUE,TRUE,FALSE,FALSE,SVM
negative_control_text_length,score_svm_logit,date_linear_score,2138.8248541512085,2139.6617586952298,3.141137285983898,780,1.5799327658127228e-16,1.0000000000000002,7,431.22447706867297,1.2260366099859922e-94,Date linear + score,TRUE,TRUE,FALSE,FALSE,SVM
negative_control_text_length,score_svm_logit,score_only,2145.450187086624,2146.3325089927134,2.1043695298131677,780,1.5799327658127228e-16,1.0000000000000002,8,437.84981000408834,4.46509466948019e-96,Score only,TRUE,FALSE,FALSE,FALSE,SVM
negative_control_text_length,score_svm_logit,date_rw2_source,2200.968346962128,2200.8441974192424,7.7645506556135935,780,1.5799327658127228e-16,1.0000000000000002,9,493.3679698795927,3.9283975508387315e-108,Date RW2 + source,FALSE,TRUE,TRUE,FALSE,SVM
negative_control_text_length,score_svm_logit,date_rw2,2203.647783808901,2203.8992420841732,6.797851209519493,780,1.5799327658127228e-16,1.0000000000000002,10,496.04740672636535,1.0289235631758525e-108,Date RW2,FALSE,TRUE,FALSE,FALSE,SVM
negative_control_text_length,score_svm_logit,date_linear,2211.791103653615,2212.2208567084376,2.554167819183331,780,1.5799327658127228e-16,1.0000000000000002,11,504.1907265710797,1.7542184587730032e-110,Date linear,FALSE,TRUE,FALSE,FALSE,SVM
negative_control_text_length,score_svm_logit,source_only,2213.1788823548254,2213.5272413652815,2.6359654282560894,780,1.5799327658127228e-16,1.0000000000000002,12,505.57850527228993,8.764585066934326e-111,Source only,FALSE,FALSE,TRUE,FALSE,SVM
negative_control_text_length,score_svm_logit,intercept_only,2216.1746821710713,2216.5313278332314,1.6323651007105768,780,1.5799327658127228e-16,1.0000000000000002,13,508.57430508853577,1.9597546157558518e-111,Intercept only,FALSE,FALSE,FALSE,FALSE,SVM
