score,model,creator_idx,mean,lower,upper,y_sd,creator,mean_std,lower_std,upper_std,model_pretty,date_function,has_label,has_creator,score_label
score_bert_logit,label_date_linear_creator,74,-0.044089195537327694,-0.7906453493243004,0.5490940613848965,4.390385762811726,Hydatius Lemicensis,-0.010042214493036198,-0.18008562163748204,0.12506738383582067,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,75,6.016031597478304e-4,-0.578116107675986,0.5804887582227737,4.390385762811726,Hyginus the Elder,1.3702740311424182e-4,-0.13167774744826619,0.1322181670548723,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,76,0.024673423207496666,-0.5889211648504584,0.7193500907822019,4.390385762811726,"Hyginus, Gaius Iulius",0.005619875915344422,-0.13413881983648215,0.16384667080405024,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,77,0.05863035936616018,-0.5004189374590974,0.8380538202233051,4.390385762811726,Iulius Firmicus Maternus,0.013354261455287623,-0.11398063051721793,0.19088386886681957,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,78,0.018867108929134038,-0.5969844623705192,0.6948708447149047,4.390385762811726,"Iustinus Iunianus, Marcus",0.004297369285620818,-0.1359754004823926,0.15827102269707843,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,79,0.006724297660282986,-0.6138398582686599,0.6476566352817037,4.390385762811726,Iuuentius,0.0015315960882618565,-0.13981456105022072,0.14751702248299162,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,80,-0.017316909712078055,-0.678890205833455,0.5917071180014344,4.390385762811726,"Lactantius, Lucius Caecilius Firmianus",-0.003944279762101775,-0.1546311059005154,0.13477337754996924,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,81,-0.009869966690148481,-0.6582773291464856,0.6093609239289884,4.390385762811726,laudes Domini,-0.002248086437813947,-0.14993610236311133,0.13879439230386367,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,82,0.015700687097898732,-0.6011577718390676,0.6815466180105353,4.390385762811726,Licentius,0.0035761520618278362,-0.13692595692412898,0.15523615801224122,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,83,0.02055625475691902,-0.5947007323344465,0.7022414596529036,4.390385762811726,Licinius Caluus,0.004682106736733361,-0.13545523433767323,0.15994983074179078,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,84,0.016659134845135568,-0.5924675450474414,0.6764255641388588,4.390385762811726,Lucanus,0.0037944581057648545,-0.13494658033603146,0.15406973343172853,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,85,0.03447098062079421,-0.570539345627286,0.7575258233425907,4.390385762811726,Lucius Ticidas,0.00785146966190917,-0.12995198518999768,0.17254197336350915,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,86,0.005002872062771017,-0.6150964390985934,0.6399635311382528,4.390385762811726,"Lupus, Publius Rutilius",0.0011395062605084245,-0.14010077299099757,0.14576476093718066,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,87,0.036818193822648275,-0.5605287570412321,0.7641339975766405,4.390385762811726,Luscius Lanuuinus,0.0083860953938291,-0.12767186924418544,0.17404711997044825,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,88,0.006333934219464609,-0.6144030419169474,0.6461227318160979,4.390385762811726,Lygdamus,0.0014426828442082457,-0.13994283762515358,0.14716764464959062,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,89,0.06635788467891354,-0.4740800631755776,0.8650574585833837,4.390385762811726,Macarius Magnus: Sanctus,0.015114363125215698,-0.10798141411427215,0.19703449886129748,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,90,0.015095734565167312,-0.6017540162163063,0.6793330950585054,4.390385762811726,Maecenas,0.003438361770629372,-0.13706176375511162,0.15473198296439478,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
