model,term,mu_all,mu_ch,mu_nc,mean_abs_contrib,n_present,n_present_ch,n_present_nc,present_rate,direction,z_mu_all,z_abs,rank_abs,rank_pos,rank_neg,side
ridge,christus,0.6614535142812844,0.7022243008101221,0.43536097080318403,0.6614535142812844,72,61,11,0.19889502762430938,christian,45.836706413072726,45.843792095047924,1,1,18536,christian
ridge,propheta,0.47663072455470507,0.5161260021170029,0.1922647261061616,0.47663072455470507,41,36,5,0.1132596685082873,christian,33.01173390022923,33.01580752594867,2,2,18535,christian
ridge,christianus,0.4049811260116308,0.41818706263451166,0.23330394991417974,0.4049811260116308,28,26,2,0.07734806629834254,christian,28.039922073178058,28.042828025680176,4,4,18533,christian
ridge,ecclesia,0.4012609109538866,0.42334906835595476,0.16565389866515925,0.4012609109538866,35,32,3,0.09668508287292818,christian,27.78177395233204,27.784619276504426,5,5,18532,christian
ridge,angelus,0.3266738720516974,0.3381418270145028,0.09731477279559017,0.3266738720516974,42,40,2,0.11602209944751381,christian,22.606131245336364,22.607761024837796,6,6,18531,christian
ridge,sanctus,0.3073142348321469,0.40529876220432,0.230326391896868,0.3073142348321469,150,66,84,0.4143646408839779,christian,21.262753539769513,21.26406781534157,10,10,18527,christian
ridge,codex,0.28601951045717694,0.3686336263236592,0.1620983366574536,0.28601951045717694,20,12,8,0.055248618784530384,christian,19.7850988891629,19.786066124698046,13,13,18524,christian
ridge,corporeus,0.28585545836074755,0.29498276243181015,0.2569523288023825,0.28585545836074755,25,19,6,0.06906077348066299,christian,19.773715208446394,19.77467977042519,14,14,18523,christian
ridge,dominus,0.2502183221652059,0.3433498921457937,0.19400377091566195,0.2502183221652059,178,67,111,0.49171270718232046,christian,17.30083135672865,17.30121514044318,18,18,18519,christian
ridge,resurgo,0.242540364288131,0.3168824754497335,0.12907082619936933,0.242540364288131,48,29,19,0.13259668508287292,christian,16.76805291055365,16.768311566619747,19,19,18518,christian
ridge,attamen,0.23761146494506347,0.29167429619475577,0.12176254083858006,0.23761146494506347,22,15,7,0.06077348066298342,christian,16.426033408051126,16.426211737864588,20,20,18517,christian
ridge,abacus,0.23504314050947278,0.536303210673668,0.03420309373334266,0.23504314050947278,5,2,3,0.013812154696132596,christian,16.247815719965995,16.24795219380653,22,22,18515,christian
ridge,petrus,0.22929358202358255,0.24886565133112018,0.1118611661783567,0.22929358202358255,35,30,5,0.09668508287292818,christian,15.848850150559683,15.848892923868855,23,23,18514,christian
ridge,egenus,0.21172922572303018,0.24049628384794883,0.15419510947319295,0.21172922572303018,30,20,10,0.08287292817679558,christian,14.630048145170525,14.62980467223619,27,27,18510,christian
ridge,anima,0.19634459226742312,0.25144530950995214,0.1568805650531792,0.19634459226742312,127,53,74,0.35082872928176795,christian,13.562498513005448,13.562004316761987,30,30,18507,christian
