time,step,detail
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 1 fold 2 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 1 fold 3 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 1 fold 4 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 1 fold 5 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 4 fold 1 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 4 fold 2 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 4 fold 3 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 4 fold 4 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 4 fold 5 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 16 fold 1 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 16 fold 2 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 16 fold 3 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 16 fold 4 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 16 fold 5 of 5
2026-03-29 01:11:45,tune_xgb,outer fold 3
2026-03-29 01:11:45,xgb_inner_fold,outer 3 candidate 1 of 8 fold 1 of 5
2026-03-29 01:11:47,xgb_inner_fold,outer 3 candidate 1 of 8 fold 2 of 5
2026-03-29 01:11:49,xgb_inner_fold,outer 3 candidate 1 of 8 fold 3 of 5
2026-03-29 01:11:52,xgb_inner_fold,outer 3 candidate 1 of 8 fold 4 of 5
2026-03-29 01:11:56,xgb_inner_fold,outer 3 candidate 1 of 8 fold 5 of 5
2026-03-29 01:11:58,xgb_inner_fold,outer 3 candidate 2 of 8 fold 1 of 5
2026-03-29 01:12:00,xgb_inner_fold,outer 3 candidate 2 of 8 fold 2 of 5
2026-03-29 01:12:03,xgb_inner_fold,outer 3 candidate 2 of 8 fold 3 of 5
2026-03-29 01:12:05,xgb_inner_fold,outer 3 candidate 2 of 8 fold 4 of 5
2026-03-29 01:12:08,xgb_inner_fold,outer 3 candidate 2 of 8 fold 5 of 5
2026-03-29 01:12:09,xgb_inner_fold,outer 3 candidate 3 of 8 fold 1 of 5
2026-03-29 01:12:11,xgb_inner_fold,outer 3 candidate 3 of 8 fold 2 of 5
2026-03-29 01:12:13,xgb_inner_fold,outer 3 candidate 3 of 8 fold 3 of 5
2026-03-29 01:12:15,xgb_inner_fold,outer 3 candidate 3 of 8 fold 4 of 5
2026-03-29 01:12:20,xgb_inner_fold,outer 3 candidate 3 of 8 fold 5 of 5
2026-03-29 01:12:22,xgb_inner_fold,outer 3 candidate 4 of 8 fold 1 of 5
2026-03-29 01:12:24,xgb_inner_fold,outer 3 candidate 4 of 8 fold 2 of 5
2026-03-29 01:12:24,xgb_inner_fold,outer 3 candidate 4 of 8 fold 3 of 5
2026-03-29 01:12:27,xgb_inner_fold,outer 3 candidate 4 of 8 fold 4 of 5
2026-03-29 01:12:31,xgb_inner_fold,outer 3 candidate 4 of 8 fold 5 of 5
2026-03-29 01:12:33,xgb_inner_fold,outer 3 candidate 5 of 8 fold 1 of 5
2026-03-29 01:12:35,xgb_inner_fold,outer 3 candidate 5 of 8 fold 2 of 5
2026-03-29 01:12:36,xgb_inner_fold,outer 3 candidate 5 of 8 fold 3 of 5
2026-03-29 01:12:38,xgb_inner_fold,outer 3 candidate 5 of 8 fold 4 of 5
2026-03-29 01:12:41,xgb_inner_fold,outer 3 candidate 5 of 8 fold 5 of 5
2026-03-29 01:12:42,xgb_inner_fold,outer 3 candidate 6 of 8 fold 1 of 5
2026-03-29 01:12:43,xgb_inner_fold,outer 3 candidate 6 of 8 fold 2 of 5
2026-03-29 01:12:44,xgb_inner_fold,outer 3 candidate 6 of 8 fold 3 of 5
2026-03-29 01:12:46,xgb_inner_fold,outer 3 candidate 6 of 8 fold 4 of 5
2026-03-29 01:12:48,xgb_inner_fold,outer 3 candidate 6 of 8 fold 5 of 5
2026-03-29 01:12:49,xgb_inner_fold,outer 3 candidate 7 of 8 fold 1 of 5
2026-03-29 01:12:50,xgb_inner_fold,outer 3 candidate 7 of 8 fold 2 of 5
2026-03-29 01:12:52,xgb_inner_fold,outer 3 candidate 7 of 8 fold 3 of 5
2026-03-29 01:12:54,xgb_inner_fold,outer 3 candidate 7 of 8 fold 4 of 5
2026-03-29 01:12:58,xgb_inner_fold,outer 3 candidate 7 of 8 fold 5 of 5
2026-03-29 01:13:00,xgb_inner_fold,outer 3 candidate 8 of 8 fold 1 of 5
2026-03-29 01:13:01,xgb_inner_fold,outer 3 candidate 8 of 8 fold 2 of 5
2026-03-29 01:13:03,xgb_inner_fold,outer 3 candidate 8 of 8 fold 3 of 5
2026-03-29 01:13:06,xgb_inner_fold,outer 3 candidate 8 of 8 fold 4 of 5
2026-03-29 01:13:09,xgb_inner_fold,outer 3 candidate 8 of 8 fold 5 of 5
2026-03-29 01:13:13,tune_lgb,outer fold 3
2026-03-29 01:13:13,lgb_inner_fold,outer 3 candidate 1 of 8 fold 1 of 5
